Name,Condition,Condition(Numeric),Mg,Al,Zn,Mn,Ce,La,Nd,Pr,Sn,Ca,Zr,Ag,Ho,Y,Gd,Cu,Si,Li,Yb,Th,Sb,Ga,Tb,Dy,Fe,UTS,YS,Ductility
Mg-Zn-Ho,Extrusion(230 degree C),1,93.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280,200,15
Mg-Zn-Ho,Extrusion(210 degree C),1,96.90,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208,300,20
AZ61-A2,Extrusion,1,92.23,6.76,0.74,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,297,319,18
AZ80-39,Extrusion,1,90.66,8.40,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329,333,13
AZ31B-L,Extrusion,1,96.28,2.80,0.60,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279,301,23
AZ61A1-L,Extrusion,1,93.31,5.80,0.60,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,298,296,20
AZ31(R 10),Extrusion,1,95.87,2.95,0.83,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248,194,14
AZ31(R 100),Extrusion,1,95.87,2.95,0.83,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230,212,17
Mg-Gd-Y-Zr,Extrusion,1,86.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,397,311,4
Mg -Zn-Gd,Extrusion,1,95.90,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117,214,16.5
LAZ1010,Extrusion,1,88.35,0.95,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.9,128.4,46.1
Mg-Zn-Y-Zr(Alloy 2) (300 C),Extrusion (300 C),1,92.70,0.00,5.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,340,285,10
Mg-Zn-Y-Zr(Alloy 1) (300 C),Extrusion (300 C),1,93.33,0.00,5.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325,262,12.8
Mg-Zn-Y-Zr(Alloy 3) (300 C),Extrusion (300 C),1,92.36,0.00,5.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335,264,15
Mg-Zn-Ca (583 K),Extrusion,1,98.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300,297,44
Mg-Zn-Y,Extrusion,1,96.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,410,380,23
Mg-Gd-Y-Zn-Zr (1),Hot Extrusion,1,95.50,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.80,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,542,473,8
Mg-Zn-Y (1),Extrusion,1,97.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,342,360,6
Mg-Sn-Zn-Mn,Extrusion,1,96.80,0.00,1.00,0.10,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,320,260,12
Mg-Ca-Zn(1),Extrusion,1,98.20,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329,291,15.8
Mg-Zn-Tb,Extrusion,1,97.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,345,315,13.6
Mg-Zn-Dy,Extrusion,1,97.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,338,305,19.5
M1A,Extrusion,1,98.80,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,268,192,12
ZM21,Extrusion,1,97.50,0.00,2.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258,155,23
LZ111,ECAE,2,88.27,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,130,32
LZ91,ECAE,2,90.25,0.01,0.93,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,140,31
LZM910,ECAE,2,90.06,0.00,0.96,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90,130,22
LZAM9110,ECAE,2,88.80,0.93,1.05,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105,145,25
LAZM9310,ECAE,2,86.93,2.82,0.99,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110,160,27
Mg-0.2Ce,Extrusion,1,99.13,0.01,0.01,0.02,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205,80,20.6
Mg-3Al-0.2Ce,Extrusion,1,95.49,3.70,0.01,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,110,17.3
Z6,Extrusion (T5D),1,94.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,305,260,20.5
ZQ61,Extrusion (T5D),1,93.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315,270,24
ZQ62,Extrusion (T5D),1,92.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325,290,20
ZQ63,Extrusion (T5D),1,91.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,320,275,21.5
Mg-Ca-Zn(2),Casting and Extrusion,1,95.50,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211,273,34
Mg-Gd-Y-Zr(1),Extrusion - T5,1,87.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,362,239,4.7
Mg-Gd-Y-Zr(2),Extrusion(673K),1,87.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,403,311,15.3
Mg-Zn-Y(2),Extrusion,1,95.00,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370,220,17.2
Mg-Zn-Y(3),Extrusion,1,92.50,0.00,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,321,213,41
Mg-Gd-Nd-Zn-Zr,Extrusion,1,88.10,0.00,0.30,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.60,0.00,0.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206,153,25.4
AZ91,Extrusion,1,90.07,9.00,0.80,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,327,307,4.5
AZ91(1),Extrusion(300K),1,90.07,9.00,0.80,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307,296,13.7
Mg-Li-Zn-Y,Extrusion,1,88.23,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,8.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222,148,30.7
Mg-Li-Zn-Y(1),Extrusion,1,84.41,0.00,6.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.00,0.00,0.00,7.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239,159,20.4
Mg-Li-Zn-Y(2),Extrusion,1,81.29,0.00,9.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,0.00,7.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,247,166,17.1
Mg-Al-Ca-Mn,Extrusion,1,92.80,3.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420,410,5.6
Mg-Sn-Zn-Al(1),Extrusion,1,86.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,415,371,9.1
Mg-Gd-Er-Zr,Slow speed Extrusion,1,91.50,8.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437,403,10.7
Mg-Gd-Zr(1),He + R,1,85.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,375,305,3.5
Mg-Y-Gd-Zr(3),He,1,74.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353,320,0.4
Mg-Gd-Y-Zn-Zr (2),Cast + T6,5,84.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,3.80,11.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330,300,2
Mg-Gd-Y-Zn-Zr (3),Cast + T6,5,83.60,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,3.80,11.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310,300,2
Mg-Gd-Y-Zn-Zr (4),Cast + T6,5,82.10,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,3.80,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310,260,12
Mg-Gd-Nd-Zr,Cast + T6,5,82.62,0.00,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,4.10,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361,231,4
Mg-Gd-Ag-Zr,Cast + T6,5,86.50,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350,230,2.3
